condition,precision,recall,mAP50,mAP50_95,mAP50_drop,mAP50_95_drop,recall_drop,precision_drop
clean_test,0.570036824316966,0.6603850404675075,0.6181471556985241,0.38234763361664975,0.0,0.0,0.0,0.0
color_shift_medium,0.5149054477437444,0.6440672208660327,0.5711056815635565,0.35054253243688155,0.04704147413496762,0.0318051011797682,0.016317819601474715,0.05513137657322165
color_shift_mild,0.5741948876772557,0.6572150484394483,0.6076414282463787,0.37612803837878206,0.010505727452145397,0.006219595237867692,0.003169992028059121,-0.004158063360289677
color_shift_severe,0.5141257924342267,0.579939719243726,0.5285871628991223,0.3222251195105138,0.08955999279940174,0.06012251410613595,0.08044532122378145,0.05591103188273927
contrast_shift_medium,0.5444582779709021,0.6835946920639744,0.594157736817484,0.3608753185900328,0.023989418881040114,0.02147231502661695,-0.02320965159646693,0.025578546346063935
contrast_shift_mild,0.57362223390627,0.6725425137717965,0.607772019632809,0.37448515597729726,0.010375136065715052,0.007862477639352494,-0.012157473304289068,-0.0035854095893039784
contrast_shift_severe,0.5293422608741885,0.6220222392440327,0.554681097095248,0.33066768878568475,0.06346605860327603,0.051679944830965,0.038362801223474796,0.040694563442777554
gaussian_blur_medium,0.5858607474644444,0.6433489808336914,0.6213103676601271,0.38425773951305797,-0.003163211961603074,-0.0019101058964082207,0.017036059633816047,-0.01582392314747838
gaussian_blur_mild,0.5721690765237738,0.6510359928798637,0.6206780271758428,0.38496647043061233,-0.0025308714773186747,-0.0026188368139625773,0.009349047587643766,-0.0021322522068077943
gaussian_blur_severe,0.5876134209829731,0.656467839939516,0.6245928253766184,0.3858102925454909,-0.006445669678094346,-0.0034626589288411225,0.003917200527991493,-0.017576596666007083
jpeg_compression_medium,0.556793732790585,0.6910788852163772,0.6186445657603041,0.3826121468491113,-0.000497410061780057,-0.00026451323246157177,-0.030693844748869714,0.013243091526381034
jpeg_compression_mild,0.5703466522445417,0.6685534084987205,0.6199385368205039,0.3827551001799184,-0.0017913811219798514,-0.0004074665632686214,-0.008168368031213014,-0.0003098279275757232
jpeg_compression_severe,0.5682670597534581,0.6722318186240861,0.6196875917267785,0.381058963720167,-0.0015404360282543772,0.0012886698964827414,-0.011846778156578641,0.0017697645635078585
low_light_medium,0.5574464138747373,0.6849377247810505,0.612944165333789,0.3808556440800693,0.005202990364735038,0.0014919895365804736,-0.02455268431354307,0.01259041044222875
low_light_mild,0.5780660596155145,0.6549590984963283,0.6201566291124267,0.38549242121364236,-0.0020094734139026738,-0.0031447875969926042,0.005425941971179182,-0.008029235298548487
low_light_severe,0.508706252732169,0.6525630646223028,0.5885785359763165,0.3646182193384866,0.02956861972220759,0.017729414278163158,0.00782197584520461,0.061330571584797045
motion_blur_medium,0.5546689282095506,0.6772634551028669,0.617735426530894,0.3837567565583317,0.0004117291676301038,-0.0014091229416819395,-0.01687841463535944,0.015367896107415402
motion_blur_mild,0.5541678397244193,0.6810646321872399,0.6207886881907397,0.38447152819905794,-0.002641532492215659,-0.0021238945824081923,-0.020679591719732437,0.01586898459254671
motion_blur_severe,0.5417851330626625,0.6787558626970401,0.6167144629111112,0.379581197649434,0.0014326927874128703,0.0027664359672157635,-0.01837082222953268,0.02825169125430349
occlusion_medium,0.5510393149110859,0.6220097016990347,0.5671702230822295,0.34078816775607274,0.050976932616294546,0.041559465860577016,0.038375338768472766,0.018997509405880075
occlusion_mild,0.5572520973200065,0.6513986225932352,0.607552722189347,0.37240314597642854,0.010594433509177104,0.009944487640221211,0.008986417874272234,0.012784726996959539
occlusion_severe,0.545552472229919,0.5334738343527743,0.5007829360510111,0.29619848905589097,0.11736421964751298,0.08614914456075878,0.12691120611473317,0.024484352087047023
over_exposure_medium,0.5417016942185449,0.6933866151032095,0.6146378215117179,0.37511340387436454,0.0035093341868062122,0.007234229742285214,-0.03300157463570208,0.028335130098421146
over_exposure_mild,0.5448050725890179,0.6887184289576469,0.6182375012157317,0.3815579391840579,-9.034551720765727e-05,0.0007896944325918587,-0.028333388490139444,0.025231751727948115
over_exposure_severe,0.550465766738923,0.647954489165771,0.589814624406924,0.3554809212741588,0.02833253129160007,0.02686671234249094,0.012430551301736426,0.019571057578043005
